Question,Answer,NOTE,Ref
ประโยชน์ของการปลูกเหงือก,ยับยั้งเหงือกร่นหรือสูญเสียกระดูก ลดอาการเสียวฟัน และป้องกันไม่ให้รากฟันผุ การปลูกถ่ายเหงือกยังช่วยให้ขอบเหงือกได้ระดับ ส่งเสริมให้คุณยิ้มและพูดได้อย่างมั่นใจมากขึ้น,,
ปลูกเหงือกมีกี่แบบ,1. การปลูกถ่ายเนื้อเยื่อยึดต่อ (Connective Tissue Graft) 2. การปลูกถ่ายแผ่นเหงือกอิสระ (Free Gingival Graft) 3. การปลูกถ่ายเหงือกแบบเลื่อนแผ่นเหงือก (Pedicle Graft),,
ทานอะไรได้เมื่อไหร่,"หลีกเลี่ยงการรับประทานอาหารจนกว่ายาชาจะหมดฤทธิ์ เพราะอาจจะกัดริมฝีปาก แก้มหรือลิ้นได้ หลังจากนั้นอาจเริ่มรู้สึกมีอาการปวด สามารถทานยาแก้ปวดตามคำแนะนำของทันตแพทย์ 
หลีกเลี่ยงเครื่องดื่มแอลกอฮอล์และการสูบบุหรี่จนกว่าจะถึงเวลานัดหมายครั้งถัดไป ไม่แนะนำให้สูบบุหรี่ในช่วง 7-14 วันหลังการผ่าตัด รับประทานอาหารอ่อนๆ 
หลีกเลี่ยงการทานอาหารที่มีรสจัดหรือการขบเคี้ยวอาหารที่แข็งและกรุบกรอบ เพราะเหงือกที่เพิ่งได้รับการผ่าตัดตกแต่งเหงือกจะยังเป็นแผลอยู่",,
กี่ชั่วโมงเปลี่ยนแผ่นผ้ากอซ,ให้กัดผ้าก็อซเป็นเวลา 1 ชั่วโมง หากยังมีเลือดซึมเพิ่ม ให้กัดต่ออีกประมาณ 30 นาที,,
ปลูกเหงือกเหมาะกับใคร,"ผู้ที่มีฟันซี่ที่ดูยาวขึ้น จากอาการเหงือกร่น
ผู้ที่มีอาการเสียวฟัน จากอาการเหงือกร่น
ผู้ที่เป็นโรคปริทันต์อักเสบหรือโรคเหงือก จนเกิดอาการเหงือกร่น",,
การเตรียมตัวก่อนปลูกเหงือก,"หากมีโรคประจำตัว ยาที่ต้องรับประทานประจำ หรือมีประวัติการแพ้ยา ต้องแจ้งให้แพทย์ทราบก่อนผ่าตัด
งดเครื่องดื่มที่มีแอลกอฮอล์ และงดสูบบุหรี่อย่างน้อย 1 วันก่อนผ่าตัด
นอนหลับพักผ่อนให้เพียงพอ และเตรียมพร้อมดูแลสุขภาพให้แข็งแรง
แปรงฟันและทำความสะอาดช่องปากก่อนผ่าตัด",,
ข้อควรพึงระวังหลังจากทำการรักษา,"อาจพบเลือดออกเล็กน้อย ภายในช่วง 48 ชั่วโมงแรกหลังการผ่าตัด งดการบ้วนน้ำลายหรือบ้วนปากหลังการผ่าตัด เพราะจะทำให้เลือดออกนานขึ้นได้ อาจมีอาการเสียวฟันหลังการผ่าตัด โดยเฉพาะความเย็น 
แต่อาการเสียวฟันมักจะลดลงภายในไม่กี่สัปดาห์หลังการผ่าตัด โดยการรักษาความสะอาดภายในช่องปากเพื่อลดการก่อแผ่นคราบจุลินทรีย์ 
ในกรณีที่มีอาการเสียวฟันอย่างมาก ควรปรึกษาทันตแพทย์ เพื่อขอคำแนะนำหรือยาเพื่อบรรเทาอาการ งดการแคะ เขี่ยหรือรั้งแก้มหรือริมฝีปากใกล้กับบริเวณที่ทำการผ่าตัด อาจทำให้เกิดการอักเสบได้",,
การดูแลตัวเองหลังปลูกเหงือก,"การปลูกเหงือกโดยปกติจะใช้เวลารักษาเพียง 1-2 ชั่วโมงเท่านั้น ซึ่งระยะเวลาการรักษาจะขึ้นอยู่กับผู้ป่วยแต่ละคน และใช้เวลารักษาตัวหลังปลูกถ่ายเหงือกประมาณ 1-2 สัปดาห์ 
ในระหว่างที่ฟื้นตัวจะต้องดูแลสุขภาพช่องปากและฟันด้วย ดังนี้
• หากหลังปลูกถ่ายเหงือก มีอาการเจ็บ หรือปวดบริเวณแผล ให้ทานยาพาราเซตามอล เพื่อบรรเทาอาการปวด
• ควรรับประทานอาหารอ่อน และเคี้ยวเบาๆ ให้ละเอียด เช่น ข้าวต้ม ผักต้ม ไข่ต้ม นม โยเกิร์ต
• หลีกเลี่ยงอาหารรสเผ็ด อาหารร้อนจัด
หรืออาหารที่เย็นจัด เนื่องจากสภาพเหงือกยังไม่แข็งแรงเหมือนปกติ
• สามารถแปรงฟันได้ แต่ให้ระมัดระวังบริเวณใกล้กับแผล โดยให้แปรงเบาๆ เท่านั้น
• ทานยาตามที่แพทย์แนะนำให้ครบตามกำหนด และพักผ่อนให้เพียงพอ",,"https://www.plusdentalclinic.com/all-about-gingival-graft/#:~:text=เคล็ดลับการดูแลสุขภาพหลังปลูกถ่ายเหงือก&text=ควรรับประทานอาหารอ่อน%20และ,นม%20โยเกิร์ต&text=หลีกเลี่ยงอาหารรสเผ็ด,ยังไม่แข็งแรงเหมือนปกติ&text=สามารถแปรงฟันได้%20แต่,ให้แปรงเบาๆ%20เท่านั้น"
ถ้าเลือดออกในปากควรจะกลืนหรือถุยทิ้ง,ห้ามบ้วนเลือด หรือน้ำลายทิ้ง เนื่องจากจะทำให้เลือดไม่หยุดได้ แนะนำให้กลืนเลือด และน้ำลายได้เลย,,https://www.skytraindental.com/th/การปฏิบัติตัวหลังถอนฟั/
ถ้ามีอาการปวดมากกว่าปกติควรกลับไปหาทันตแพทย์หรือไม่,ควร,,
เมื่อไหร่ยาชาจะหมดฤทธิ์,โดยทั่วไปแล้วยาชาจะอยู่ได้นาน 2-4 ชั่วโมง ขึ้นกับชนิด ปริมาณ และเทคนิคการฉีดยาชา,,
ปลูกเหงือกเจ็บไหม,ไม่เจ็บ เนื่องจากระหว่างการผ่าตัดจะมีการฉีดยาชา แต่หลังจากการรักษา อาจมีอาการเจ็บ ให้ทานพาราเซตามอล เพื่อบรรเทาอาการปวด,,
ต้องตัดไหมกี่วันหลังจากผ่าเหงือก,,,
ผลข้างเคียงและความเสี่ยงของการปลูกเหงือก,"หลังจากที่ได้รับการผ่าตัดแต่งเหงือกแล้วที่เหงือกจะมีแผลจากการผ่าตัดจากตกแต่งเหงือกอาจจะเกิดการอักเสบได้ 
ซึ่งก็จะเป็นลักษณะของแผลตัดแต่งเหงือกขนาดเล็ก ที่จะสามารถหายได้เองประมาณ 1 สัปดาห์ ไม่ทำให้ยิ้มเห็นเหงือกส่วนเกินได้อีก",,
ปลูกเหงือกใช้เวลานานไหม,การปลูกเหงือกโดยปกติจะใช้เวลารักษาเพียง 1-2 ชั่วโมงเท่านั้น ซึ่งระยะเวลาการรักษาจะขึ้นอยู่กับผู้ป่วยแต่ละคน และใช้เวลารักษาตัวหลังปลูกถ่ายเหงือกประมาณ 1-2 สัปดาห์,,
อาการใดถึงเรียกว่าผิดปกติหลังจากได้รับการรักษา,มีเหงือกบวมผิดปกติ หรือมีอาการปวดมากผิดปกติ,,
ปลูกถ่ายเหงือกมีค่าใช้จ่ายประมาณเท่าไหร่,"4,000 – 5,000",,
ต้องกินน้ำเย็นหรือน้ำร้อน,ควรหลีกเลี่ยงน้ำดื่มที่ร้อนหรือเย็นมากเกินไป ปกติแล้วจะแนะนำให้ดื่มน้ำที่อุณหภูมิห้อง,,
กัดผ้าก๊อซแล้วแต่ยังมีเลือดซึมต้องทำยังไง,กรณีเลือดยังไหลไม่หยุดให้ชุบผ้าก๊อซด้วยน้ำสะอาดบิดให้มาดๆก่อน จะได้ไม่ซับเลือดขึ้นมาอีก และกัดด้วยแรงเบาๆ,,"https://www.paolohospital.com/th-TH/samut/Article/Details/ข้อแนะนำในการปฏิบัติตัวหลังการถอนฟันหรือผ่าฟันคุด#:~:text=2.%20การกัดผ้าก๊อ,กัดด้วยแรงเบาๆ"
ผ่านานแค่ไหน,โดยแต่ละซี่จะใช้เวลาประมาณ 5-10 นาที ขึ้นอยู่กับปริมาณกระดูกฟัน,,
ดื่มแอลกอฮอล์ได้มั้ย,หลีกเลี่ยงเครื่องดื่มแอลกอฮอล์และการสูบบุหรี่จนกว่าจะถึงเวลานัดหมายครั้งถัดไป,,
กี่วันถึงจะกินของเผ็ดได้,ประมาณ1อาทิตย์หลังผ่าตัด,,
ไหมละลายใช้เวลากี่วันถึงละละลายหมด,ประมาณ 1-3เดือน แล้วแต่ชนิดของไหมละลาย,,
มีโอกาสเกิดอาการแทรกซ้อนใดๆหรือไม่ หลังจากได้รับการรักษา,หลังจากเข้ารับการตัดแต่งเหงือก หากคนไข้ไม่ดูแลสุขภาพช่องปากให้ดี อาจทำให้เกิดโรคช่องปากต่างๆ เกิดขึ้นได้อีก เช่น คอฟันสึก เหงือกบวม เหงือกร่น ฟันผุ อาการติดเชื้อ เป็นต้น,,
,,,
Answered,40,,
