Question,Answer,NOTE,Ref
แผลถอนฟันนานแค่ไหนกว่าจะแผลแห้ง,แผลจะมีขนาดเล็กลงภายใน1สัปดาห์ และหายสนิทภายใน1เดือน ,,
อาการใดถึงเรียกว่าผิดปกติหลังจากถอนฟัน,หากมีเลือดออกปริมาณมากหรือเลือดออกไม่หยุดหลัง6 ชม. หรือมีอาการหน้ามืด เหงื่อแตก ใจสั่น เป็นลม,,
แผลติดเชื้อมีอาการอย่างไร,ปวด บวม แดง มีหนอง เป็นไข้,,
ถอนฟันมาแล้วสามารถดื่มแอลกอฮอล์ได้มั้ย,ควรงดดื่มแอลกอฮอล์ในช่วง1สัปดาห์หลังถอนฟัน,,
ถอนฟันนานไหม,ถอนฟันใช้เวลาไม่นาน สามารถเสร็จได้ภายในไม่กี่ชั่วโมง,,
ถอนฟันใช้ยาชากี่เข็ม,แล้วแต่ตำแหน่งที่จะทำการถอนฟัน โดยทั่วไปจะฉีดยาชาประมาณ 2 เข็ม,,
เมื่อไหร่ยาชาจะหมดฤทธิ์,โดยทั่วไปยาชาจะอยู่ได้นาน2-4ชั่วโมง ขึ้นอยู่กับชนิดและปริมาณ,,
ไหมละลายจะสลายหมดไปภายใน 2 สัปดาห์โดยประมาณขึ้นอยู่กับชนิดของไหมละลาย,ไหลละลายจะสลายหมดไปภายใน 2 สัปดาห์โดยประมาณขึ้นอยู่กับชนิดของไหมละลาย,,
ถ้ามีอาการปวดมากกว่าปกติควรกลับไปหาทันตแพทย์หรือไม่,ถ้ามีอาการผิดปกติ ควรรีบไปพบทันตแพทย์,,
แปรงฟันยังไงหลังถอนฟัน,สามารถแปรงฟันได้ปกติ แต่ต้องระวังบริเวณที่ถอนฟันเป็นพิเศษ,,
ผ่าก๊อซต้องเปลี่ยนทุกๆกี่ชั่วโมง,ผ้าก๊อชควรเปลี่ยนทุกๆ30นาที,,
ถอนฟันแล้วกี่วันถึงจะกินของเผ็ดได้,3วันหลังถอนฟัน,,
ยาชาหายจะเจ็บมั้ย,อาการเจ็บหรือปวดบ้างเล็กน้อยหลังยาชาหมดฤทธิ์,,
ทำไมฟันผุถึงอุดฟันไม่ได้,ในกรณีที่ฟันผุลึกไปจนถึงโพลงประสาทฟันหรือฟันผุอย่างรุนแรง ไม่สามารถอุดฟันเพื่อรักษาฟันผุได้,,
ต้องเตรียมตัวก่อนถอนฟันอย่างไร,ก่อนถอนฟันควรทางอาหารให้เรียบร้อย แจ้งโรคประจำตัวให้ทันตแพทย์ทราบ และให้ประวัติสุขภาพของตนเองแก่ทันตแพทย์ตามจริงและครบถ้วน,,
การถอนฟันใช้เวลาเท่าไหร่,โดยทั่วไปการถอนฟันใช้เวลาไม่นานขึ้นอยู่กับความยากง่าย,,
ความเสี่ยงที่น่าจะเกิดจากการถอนฟัน,หลังถอนฟัน เลือดออกมาผิดปกติ มีเศษกระดูกโผล่ ติดเชื้อบริเวณแผล เกิดภาวะกระดูกแห้งติดเชื้อ เป็นความเสี่นงที่อาจจะเกิดขึ้นได้หลังถอนฟัน,,
ต้องประคบร้อนหรือเย็นหลังถอนฟัน, ควรประคบเย็นบริเวณด้านนอกปากบริเวณที่ใกล้แผลถอนฟัน,,
ถอนฟันทีละซี่หรือถอนทีเดียวจะทรมานน้อยกว่า,,,
ดูแลสุขภาพช่องปากอย่างไรให้แข็งแรง ไม่ฟันเสียจนต้องถอนฟัน,"1. แปรงฟันทุกครั้งหลังมื้ออาหาร 
2. เลือกแปรงสีฟันให้เหมาะกับตัวเอง
3. ใช้ไหมขัดฟันและน้ำยาบ้วนปากควบคู่กันหลังการแปรงฟันเสมอ
4. หลีกเลี่ยงอาหารที่แข็งจัด รสจัด หรือมีฤทธิ์เป็นกรด
5. หลีกเลี่ยงพฤติกรรมเสี่ยงต่อปัญหาฟันผุ
6.  พบหมอฟันเป็นประจำทุก 6 เดือน",,
,,,
Answered,57,,
